City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,24.16,88,40,6.17,ZA,1675789308
1,mahebourg,-20.4081,57.7,27.16,74,40,5.66,MU,1675789324
2,port macquarie,-31.4333,152.9167,20.04,78,37,1.25,AU,1675789325
3,albany,42.6001,-73.9662,2.8,46,55,2.24,US,1675789232
4,sobolevo,54.4299,31.8996,-12.74,98,17,1.2,RU,1675789336
5,provideniya,64.3833,-173.3,-26.29,93,74,1.54,RU,1675789336
6,swellendam,-34.0226,20.4417,21.23,72,100,5.18,ZA,1675789337
7,lavrentiya,65.5833,-171.0,-25.38,91,100,1.82,RU,1675789337
8,bluff,-46.6,168.3333,10.45,77,84,12.29,NZ,1675789338
9,diebougou,10.9667,-3.25,37.19,10,93,1.21,BF,1675789338
10,punta arenas,-53.15,-70.9167,14.06,51,75,4.63,CL,1675789333
11,vrises,35.492,23.8899,6.77,84,100,7.11,GR,1675789339
12,vidim,56.4088,103.1106,-22.56,100,99,1.2,RU,1675789340
13,hobyo,5.3505,48.5268,25.02,78,23,6.16,SO,1675789341
14,talnakh,69.4865,88.3972,-20.85,98,99,2.6,RU,1675789351
15,marinette,45.1,-87.6307,4.05,70,100,4.63,US,1675789352
16,hilo,19.7297,-155.09,22.93,91,2,0.89,US,1675789352
17,hasaki,35.7333,140.8333,8.22,84,100,10.4,JP,1675789360
18,marzuq,14.4,46.4667,18.83,48,38,3.39,YE,1675789362
19,akyab,20.15,92.9,21.07,72,0,4.38,MM,1675789372
20,sept-iles,50.2001,-66.3821,-8.3,83,75,5.14,CA,1675789376
21,actopan,20.2667,-98.9333,20.95,17,5,1.7,MX,1675789377
22,jakar,27.5492,90.7525,1.37,97,100,1.14,BT,1675789378
23,flinders,-34.5833,150.8552,21.21,90,100,0.89,AU,1675789379
24,tuktoyaktuk,69.4541,-133.0374,-34.0,68,100,0.0,CA,1675789380
25,nokaneng,-19.6667,22.2667,26.59,52,92,3.29,BW,1675789381
26,bereznik,62.8551,42.7072,-4.68,95,100,4.23,RU,1675789382
27,jamestown,42.097,-79.2353,8.08,52,0,6.69,US,1675789158
28,bredasdorp,-34.5322,20.0403,21.57,67,100,5.07,ZA,1675789385
29,hithadhoo,-0.6,73.0833,27.74,67,100,3.96,MV,1675789389
30,atuona,-9.8,-139.0333,25.87,74,6,7.39,PF,1675789389
31,butaritari,3.0707,172.7902,27.3,80,100,10.18,KI,1675789390
32,portland,45.5234,-122.6762,9.13,85,100,6.26,US,1675788893
33,praia da vitoria,38.7333,-27.0667,13.75,71,75,8.97,PT,1675789390
34,benghazi,32.1167,20.0667,13.25,55,93,8.78,LY,1675789391
35,geraldton,-28.7667,114.6,22.23,83,40,6.17,AU,1675789391
36,luba,3.4568,8.5547,29.94,78,71,4.29,GQ,1675789394
37,rikitea,-23.1203,-134.9692,26.04,73,44,5.38,PF,1675789401
38,castro,-24.7911,-50.0119,26.01,53,65,1.25,BR,1675789403
39,airai,-8.9266,125.4092,16.35,93,75,0.89,TL,1675789404
40,camacha,33.0833,-16.3333,14.68,63,40,7.72,PT,1675789410
41,kaniama,-7.5667,24.1833,21.47,87,64,2.27,CD,1675789414
42,ilulissat,69.2167,-51.1,-22.99,70,75,2.57,GL,1675789415
43,chuy,-33.6971,-53.4616,29.56,41,3,4.01,UY,1675789415
44,ushuaia,-54.8,-68.3,11.81,54,40,5.14,AR,1675789415
45,zabid,14.1951,43.3152,26.65,59,20,1.72,YE,1675789416
46,hobart,-42.8794,147.3294,13.92,68,100,3.09,AU,1675789256
47,katsuura,35.1333,140.3,10.62,84,100,6.54,JP,1675789416
